representative,party,twitter
Jenni Pitko,Vihreä eduskuntaryhmä,@JenniPitko
Sakari Puisto,Perussuomalaisten eduskuntaryhmä,@SakariPuisto
Riikka Purra,Perussuomalaisten eduskuntaryhmä,@ir_rkp
Juha Pylväs,Keskustan eduskuntaryhmä,@pylvas_juha
Lulu Ranne,Perussuomalaisten eduskuntaryhmä,@LuluRanne
Mari Rantanen,Perussuomalaisten eduskuntaryhmä,@MariPSRantanen
Piritta Rantanen,Sosialidemokraattinen eduskuntaryhmä,@PirittaRantanen
Veronica Rehn-Kivi,Ruotsalainen eduskuntaryhmä,@rehnkivi
Minna Reijonen,Perussuomalaisten eduskuntaryhmä,@minnareijonen
Antti Rinne,Sosialidemokraattinen eduskuntaryhmä,@AnttiRinnepj
Paula Risikko,Kansallisen kokoomuksen eduskuntaryhmä,@paularisikko
Jari Ronkainen,Perussuomalaisten eduskuntaryhmä,FAILED TO PARSE
Wille Rydman,Kansallisen kokoomuksen eduskuntaryhmä,@willerydman
Päivi Räsänen,Kristillisdemokraattinen eduskuntaryhmä,@PaiviRasanen
Annika Saarikko,Keskustan eduskuntaryhmä,@AnnikaSaarikko
Suldaan Said Ahmed,Vasemmistoliiton eduskuntaryhmä,@suldaansaid
Kristiina Salonen,Sosialidemokraattinen eduskuntaryhmä,@KrisseSalonen
Janne Sankelo,Kansallisen kokoomuksen eduskuntaryhmä,@JanneSankelo
Jussi Saramo,Vasemmistoliiton eduskuntaryhmä,@jussisaramo
Hanna Sarkkinen,Vasemmistoliiton eduskuntaryhmä,@HSarkkinen
Sari Sarkomaa,Kansallisen kokoomuksen eduskuntaryhmä,@sarisarkomaa
Arto Satonen,Kansallisen kokoomuksen eduskuntaryhmä,@artosatonen
Sami Savio,Perussuomalaisten eduskuntaryhmä,@SamiSavioFi
Mikko Savola,Keskustan eduskuntaryhmä,@MikkoTSavola
Matti Semi,Vasemmistoliiton eduskuntaryhmä,FAILED TO PARSE
Jenna Simula,Perussuomalaisten eduskuntaryhmä,@ainoahelmi
Juha Sipilä,Keskustan eduskuntaryhmä,FAILED TO PARSE
Saara-Sofia Sirén,Kansallisen kokoomuksen eduskuntaryhmä,@saarasofia
Ruut Sjöblom,Kansallisen kokoomuksen eduskuntaryhmä,@RuutSjoblom
Ville Skinnari,Sosialidemokraattinen eduskuntaryhmä,@VilleSkinnari
Riikka Slunga-Poutsalo,Perussuomalaisten eduskuntaryhmä,FAILED TO PARSE
Mirka Soinikoski,Vihreä eduskuntaryhmä,@MirkaSoinikoski
